loan_id,age,income,credit_score,loan_amount,employment_years,num_defaults,has_collateral,default_risk
0,25,172954,668,23124,15,2,1,0
1,59,83421,549,15848,0,5,0,1
2,53,130083,781,59494,4,3,1,1
3,42,37524,722,23654,22,2,1,0
4,42,28682,658,48178,12,0,0,0
5,63,79158,430,22065,0,1,1,1
6,25,49735,561,28889,33,2,0,1
7,55,139974,711,5179,11,2,0,0
8,31,209723,759,18293,15,5,0,1
9,25,36402,749,28158,15,4,0,1
10,47,68067,506,48790,8,0,1,0
11,69,123582,677,28329,5,3,1,0
12,57,190111,741,45755,31,2,1,0
13,59,49841,500,34610,21,0,0,0
14,56,121814,649,49411,19,3,1,0
15,60,193743,674,24114,17,3,0,1
16,46,32950,622,60853,2,0,0,0
17,27,30071,483,17719,23,2,0,1
18,62,89787,620,13503,4,4,0,1
19,43,77269,620,6849,14,1,1,1
20,46,146182,636,59965,0,2,1,1
21,39,112239,599,37291,0,0,0,0
22,30,39780,610,19988,14,1,0,1
23,67,130822,646,43735,4,5,1,1
24,60,71252,689,35315,0,3,0,0
25,53,169090,622,54491,16,1,0,0
26,41,76309,613,1782,31,2,1,0
27,62,74500,658,21019,24,1,0,0
28,48,136710,477,18062,9,2,1,0
29,43,148499,692,1000,12,0,1,0
30,43,145657,649,40904,19,3,0,1
31,32,26748,653,20944,22,3,0,0
32,25,129148,736,36094,8,3,0,1
33,48,44188,474,60396,12,2,0,1
34,65,122278,472,19701,14,1,1,0
35,24,39285,674,18682,16,1,0,0
36,63,127519,649,26779,10,1,0,0
37,62,55932,665,39808,10,2,1,1
38,34,31064,608,16499,24,2,0,1
39,52,147679,709,15535,22,4,0,1
40,29,123631,733,40857,16,0,1,0
41,58,77110,693,30679,27,1,0,1
42,56,175862,626,1000,8,5,0,1
43,38,83722,460,6619,26,5,0,1
44,24,107617,719,47518,16,5,1,1
45,69,120866,759,31028,41,1,0,0
46,43,79437,708,13567,1,0,1,1
47,65,131522,570,22443,5,1,0,1
48,54,82424,710,25198,15,0,1,0
49,59,83928,727,36036,15,5,1,0
50,58,178850,790,4626,29,5,0,1
51,30,55418,571,12385,5,4,0,1
52,39,20000,629,29094,20,4,0,1
53,44,187015,717,23502,22,2,0,0
54,45,235076,655,33577,18,2,0,0
55,23,78611,549,6557,3,5,1,1
56,48,27798,687,30356,24,4,0,1
57,28,100659,702,41373,23,3,1,0
58,58,83046,657,32302,17,5,0,1
59,55,102774,669,27086,13,2,0,0
60,67,33083,626,23561,14,2,0,1
61,58,132746,783,12477,11,5,0,1
62,39,133837,568,23920,17,2,1,0
63,69,34689,597,43895,12,4,0,1
64,41,147396,650,23214,4,2,0,0
65,37,219111,729,11652,2,1,1,0
66,66,111237,515,17616,5,1,1,0
67,39,83590,532,28012,13,3,0,1
68,24,104407,466,19397,11,2,1,0
69,44,135769,652,32279,13,2,0,0
70,60,20000,549,32842,16,4,0,1
71,30,104563,615,38334,6,0,0,0
72,44,77143,709,46353,25,0,1,0
73,27,205986,592,39937,9,5,0,1
74,55,96993,670,10986,8,3,1,1
75,44,198087,623,11446,16,3,0,0
76,37,43635,710,23863,0,0,1,0
77,32,137099,692,18232,4,3,0,1
78,49,126773,587,7925,20,2,0,0
79,54,56899,634,18374,0,3,1,1
80,68,117966,743,17882,22,0,0,0
81,42,163361,685,14922,25,3,1,0
82,29,85096,524,20263,8,3,1,1
83,62,26946,709,42676,14,1,1,0
84,52,94510,552,27988,22,0,0,0
85,56,61518,777,62077,7,5,1,1
86,25,83271,742,27557,19,4,1,1
87,36,100815,676,20649,5,3,0,1
88,59,33845,664,25061,7,4,1,1
89,62,33572,631,28847,4,4,1,1
90,42,135631,711,31528,15,0,1,0
91,61,76768,616,56150,22,2,1,0
92,63,26613,671,12320,10,5,1,1
93,40,145565,728,37885,0,1,1,0
94,65,105799,599,28116,2,5,0,1
95,35,55944,594,1433,15,0,1,0
