loan_id,age,income,credit_score,loan_amount,employment_years,num_defaults,has_collateral,default_risk
0,25,113678,668,23124,15,2,1,0
1,59,61161,549,15848,0,5,0,1
2,53,82720,781,59494,4,3,1,1
3,42,20000,722,23654,22,2,1,0
4,42,29527,658,48178,12,0,0,0
5,63,59717,430,22065,0,1,1,1
6,25,32475,561,28889,33,2,0,1
7,55,95003,711,5179,11,2,0,0
8,31,139905,759,18293,15,5,0,1
9,25,28818,749,28158,15,4,0,1
10,47,40688,506,48790,8,0,1,0
11,69,78240,677,28329,5,3,1,0
12,57,126389,741,45755,31,2,1,0
13,59,27216,500,34610,21,0,0,0
14,56,78716,649,49411,19,3,1,0
15,60,133745,674,24114,17,3,0,1
16,46,20000,622,60853,2,0,0,0
17,27,25162,483,17719,23,2,0,1
18,62,55173,620,13503,4,4,0,1
19,43,51779,620,6849,14,1,1,1
20,46,98441,636,59965,0,2,1,1
21,39,78458,599,37291,0,0,0,0
22,30,20000,610,19988,14,1,0,1
23,67,88039,646,43735,4,5,1,1
24,60,49786,689,35315,0,3,0,0
25,53,114605,622,54491,16,1,0,0
26,41,48034,613,1782,31,2,1,0
27,62,47718,658,21019,24,1,0,0
28,48,88939,477,18062,9,2,1,0
29,43,96702,692,1000,12,0,1,0
30,43,85683,649,40904,19,3,0,1
31,32,20000,653,20944,22,3,0,0
32,25,88831,736,36094,8,3,0,1
33,48,33799,474,60396,12,2,0,1
34,65,78234,472,19701,14,1,1,0
35,24,20169,674,18682,16,1,0,0
36,63,85621,649,26779,10,1,0,0
37,62,41769,665,39808,10,2,1,1
38,34,25107,608,16499,24,2,0,1
39,52,94983,709,15535,22,4,0,1
40,29,78457,733,40857,16,0,1,0
41,58,48510,693,30679,27,1,0,1
42,56,120791,626,1000,8,5,0,1
43,38,54577,460,6619,26,5,0,1
44,24,71123,719,47518,16,5,1,1
45,69,79411,759,31028,41,1,0,0
46,43,48311,708,13567,1,0,1,1
47,65,86489,570,22443,5,1,0,1
48,54,51329,710,25198,15,0,1,0
49,59,55592,727,36036,15,5,1,0
50,58,117692,790,4626,29,5,0,1
51,30,33579,571,12385,5,4,0,1
52,39,20000,629,29094,20,4,0,1
53,44,126382,717,23502,22,2,0,0
54,45,159226,655,33577,18,2,0,0
55,23,55815,549,6557,3,5,1,1
56,48,20000,687,30356,24,4,0,1
57,28,59133,702,41373,23,3,1,0
58,58,59982,657,32302,17,5,0,1
59,55,63352,669,27086,13,2,0,0
60,67,31031,626,23561,14,2,0,1
61,58,90284,783,12477,11,5,0,1
62,39,88357,568,23920,17,2,1,0
63,69,20000,597,43895,12,4,0,1
64,41,94471,650,23214,4,2,0,0
65,37,141843,729,11652,2,1,1,0
66,66,76018,515,17616,5,1,1,0
67,39,58193,532,28012,13,3,0,1
68,24,65029,466,19397,11,2,1,0
69,44,91533,652,32279,13,2,0,0
70,60,20000,549,32842,16,4,0,1
71,30,75753,615,38334,6,0,0,0
72,44,56333,709,46353,25,0,1,0
73,27,134673,592,39937,9,5,0,1
74,55,63903,670,10986,8,3,1,1
75,44,128376,623,11446,16,3,0,0
76,37,31369,710,23863,0,0,1,0
77,32,90554,692,18232,4,3,0,1
78,49,81179,587,7925,20,2,0,0
79,54,39583,634,18374,0,3,1,1
80,68,76208,743,17882,22,0,0,0
81,42,112438,685,14922,25,3,1,0
82,29,58667,524,20263,8,3,1,1
83,62,20000,709,42676,14,1,1,0
84,52,69385,552,27988,22,0,0,0
85,56,38415,777,62077,7,5,1,1
86,25,58018,742,27557,19,4,1,1
87,36,67144,676,20649,5,3,0,1
